Title,Authors
Restereo: Unifying diffusion stereo video generation and restoration,"Xingchang Huang, Ashish Kumar Singh, Florian Dubost, Cristina Nader Vasconcelos, Sakar Khattar, Liang Shi, Christian Theobalt, Cengiz Oztireli, Gurprit Singh"
StyleText: A Large-Scale Dataset and Benchmark for Stylized Scene Text Inpainting,"Aleksandr Simonyan, Nipun Jindal"
CryoDiff: Cryo-EM Synthesis via Biophysics and Cycle-Consistent Diffusion,"Genpei Zhang, Yuntian Yang, Siqi Wu, Ningyan Zhang, Seonghui Min, Jie Wu, Christopher Braxton Owens, Minhao Wu, Wanyue Feng, Gus LW Hart, Runmin Jiang, Min Xu"
PLLM: Pseudo-Labeling Large Language Models for CAD Program Synthesis,"Yuanbo Li, Dule Shu, Yan-Ying Chen, Matthew Klenk, Daniel Ritchie"
Masked Language Prompting for Generative Data Augmentation in Few-shot Fashion Style Recognition,"Yuki Hirakawa, Ryotaro Shimizu"
Avatar4D: Synthesizing Domain-Specific 4D Humans for Real-World Pose Estimation,"Jerrin Bright, Zhibo Wang, Dmytro Klepachevskyi, Yuhao Chen, Sirisha Rambhatla, David A. Clausi, John S. Zelek"
Theory of Space: Evaluating Active Spatial Belief Construction in Foundation Models with Synthetic 3D Environments,"Pingyue Zhang, Zihan Huang, Yue Wang, Jieyu Zhang, Letian Xue, Zihan Wang, Qineng Wang, Keshigeyan Chandrasegaran, Ruohan Zhang, Yejin Choi, Ranjay Krishna, Jiajun Wu, Li Fei-Fei, Manling Li"
Hybrid Rendering for Multimodal Autonomous Driving: Merging Neural and Physics-Based Simulation,"M‡tŽ T—th,ÊPŽter Kov‡cs,ÊRŽka Bencses,ÊZoltan Bendefy,ÊZoltan Hortsin,ÊBal‡zs TerŽki,ÊTamas Matuszka"
Sequential Dataset for Satellite Pose Estimation and a Frequency-Space Neural Operator for HIL-Free Generalization Benchmarking,"Woojin Cho, Junghwan Park, Steve Andreas Immanuel, JunminPark, Seokhyun Chin, Jiayun Wang"
Vanast: Virtual Try-On with Human Image Animation via Synthetic Triplet Supervision,"Hyunsoo Cha, Wonjung Woo, Byungjun Kim, Hanbyul Joo"
Durian: Dual Reference Image-Guided Portrait Animation with Attribute Transfer,"Hyunsoo Cha, Byungjun Kim, Hanbyul Joo"
Beyond Raw Signals: Undecoded Generative Latents as Privileged Synthetic Data,"Cristian Sbrolli, Nicolas Michel, Matteo Matteucci, Toshihiko Yamasaki"
Multi-Objective Photoreal Simulation (MOPS) Dataset for Computer Vision in Robot Manipulation,"Maximilian Xiling Li, Paul Mattes, Nils Blank, Rudolf Lioutikov"
"Evaluating the Trade-offs of MDL-to-UsdPreviewSurface Material Simplification in NVIDIA Isaac Sim: Visual Quality, Feature Preservation, and AI Task Performance","Zihou Zhu, Mei Haitao, Haolong Zheng, Zhou Zhang"
Auto-Comp: Scalable Controlled Synthetic Benchmarks for VL Compositionality,"Cristian Sbrolli, Toshihiko Yamasaki, Matteo Matteucci"
Structure-retained low-rank adapters for weather synthesis,"Shunxin Wang, Alexandros Stergiou, Luuk Spreeuwers, Estefania Talavera, Nicola Strisciuglio"
SJEPA: Joint Embedding Predictive Architecture for Synthetic-to-Real Alignment,Shentong Mo
Grounding Synthetic Data Generation With Vision and Language Models,"†mit Mert ‚a_lar,ÊAlptekin Temizel"
Completing Missing Modalities: Synthetic Data for RGBâ€“Infraredâ€“Thermalâ€“Text Person Re-Identification,"Muhammad Umair, Muhammad Hammad Musaddiq, Jun Zhou, Ahmad Muhammad"
How Far Can We Go With Synthetic Data for Audio-Visual Sound Source Localization?,"Arda Senocak, Sooyoung Park, Tae-Hyun Oh, Joon Son Chung"
Diffusion-Augmented Coreset Expansion for Scalable Dataset Distillation,"Ali Abbasi, Shima Imani, Chenyang An, Gayathri Mahalingam, Harsh Shrivastava, Maurice Diesendruck, Hamed Pirsiavash, Pramod Sharma, Soheil Kolouri"
Structure-Consistent Joint Image-Mask Synthesis for Data-Scarce Medical Image Segmentation,"Ningyan Zhang, Weiyi Zhang, Mostofa Rafid Uddin, Xingjian Li, Min Xu"
Narrowing the Performance Gap in Synthetic VLM Pre-training via Multi-Generator Ensembles,"Leonardo Brusini, Cristian Sbrolli, Eugenio Lomurno, Toshihiko Yamasaki, Matteo Matteucci"
Synthetic Data Generation for Long-Tail Medical Image Classification: A Case Study in Skin Lesions,"Jiaxiang Jiang, Mahesh Subedar, Omesh Tickoo"
Why Training with Synthetic Data Fails for OOD: Distribution Gap Amplifies Noise Misalignment in Diffusion Models,"Ying Hua, Jessica Bader, Jae Myung Kim, Zeynep Akata"
ProductConsistency: Improving Product Identity Preservation in Instruction-Based Image Editing via SFT and RL,"Mukund Khanna, Raj Singh Yadav, Kunal Singh"
Video-Consistent Synthetic Skiing Trajectories,"M'Saydez Campbell, RÃ©mi Emonet, Damien Muselet, Christophe Ducottet"
WaterGen: Decoupling Scene and Medium in Underwater Image Generation,"Jiayi Wu, Tianfu Wang, Tianyi Xiong, Dehao Yuan, Xiaomin Lin, Md Jahidul Islam, Cornelia Fermuller, Christopher Metzler, Yiannis Aloimonos"
Realiz3D: 3D Generation Made Photorealistic via Domain-Aware Learning,"Ido Sobol, Kihyuk Sohn, Yoav Blum, Egor Zakharov, Max Bluvstein, Andrea Vedaldi, Or Litany"
Assessing the Predictive Value of Physics-Grounded Synthetic Data for Computer Vision in Space Environments,"Arianna Issitt, Emily Happy, Elijah Clark, Mackenzie J. Meni, Ryan T. White"
FrÃ©chet Inception Distance is Failing to Preserve Rank Consistency for Synthetic Out-of-Distribution Samples,"Linghui Liu, Henrike Stephani, Janis Keuper"
Addressing Data Scarcity in Depth-Based Human Action Recognition via Zero-Shot Depth Estimation,"Rebeka Angyal, Pedro Hermosilla, Martin Kampel, Irene Ballester"
Disentangled Anatomy-Disease Diffusion (DADD) for Controllable Ulcerative Colitis Progression Synthesis,"Umut Dundar, Alptekin Temizel"
Beyond Photorealism: Counterfactual Synthetic Bundles for Invariant Sim-to-Real Vision,Murari Ambati
WireSeg-32K: A Physics-Grounded Synthetic Dataset for Wire Instance Segmentation,"Zilin Dai, Lehong Wang, Yi Yang, Xiang Fei"
Few-Shot Synthetic Data Generation with Diffusion Models for Downstream Vision Tasks,"Daniil Dushenev, Nazariy Karpov, Daniil Zinovjev, Alexander Gorin, Konstantin Kulikov"
RareCrafter: Controllable Generative Augmentation for Rare Object Detection in Driving Scenes,"Mohadeseh Ghafoori, Danielle Lee, Kurt Hammen, Collin Meese, Mark Nejad"
Beyond Objects: Contextual Synthetic Data Generation for Fine-Grained Classification,"William Yang, Xindi Wu, Zhiwei Deng, Esin Tureci, Olga Russakovsky"
Representation-Conditioned Diffusion Models for Guided Training Data Generation,"Nithesh Chandher Karthikeyan, Jonas Unger, Gabriel Eilertsen"
Object-Centric Data Synthesis for Category-level Object Detection,"Vikhyat Agarwal, Jiayi Cora Guo, Declan Hoban, Sissi Yuxi Zhang, Nick Moran, Peter Cho, Srilakshmi Pattabiraman, Shantanu H. Joshi"
AfriST-VQA: Benchmarking MLLMs for Scene-Text Visual Question Answering for African Languages,Henry Gagnier
iARCS: Iterative Agentic RL for Controllable 3D Scene Generation,"Saugat Adhikari, Ashok Prasad Neupane, Pramish Paudel, Ajad Chhatkuli, Danda Pani Paudel"
Synthetic Designed Experiments for Diagnosing Vision Model Failures,Krisanu Sarkar
Personalized Generative Models for Contextual Debiasing,"Xinran Liang, Esin Tureci, Prachi Sinha, Ye Zhu, Vikram V. Ramaswamy, Olga Russakovsky"
Privacy-Aware Synthetic Video Benchmarking and Relational Evaluation for Worker-Under-Suspended-Load Detection,"Anshu Singh, Alejandro Seif"
Sea-Mie: Physically-Based Synthetic Fog for Maritime Image Defogging via Curriculum Learning,"Stelios Avlakiotis, Peter Ter Heerdt, Thomas De Kerf, Steve Vanlanduit"
OrbitArch,"I-Ting Tsai, Bharath Hariharan"
Sim-to-Real Metrology: Calibrated Digital Twins for Fringe Projection Profilometry,"NOBLE AUSTINE, Vuppu Eshwar Sai, Vaishnavi Ravi, Madhu S. Nair, Gorthi Rama Krishna Sai Subrahmanyam"
Scaling Up 3D Forest Vision with Synthetic LiDAR,"Yihang She, Andrew Blake, David Coomes, Srinivasan Keshav"
Appreciate the View: A Task-Aware Evaluation Framework for Novel View Synthesis,"Saar Stern, Ido Sobol, Or Litany"
SAIL: Similarity-Aware Guidance and Inter-Caption Augmentation-based Learning for Weakly-Supervised Dense Video Captioning,"Ye-Chan Kim, SeungJu Cha, Si-Woo Kim, MinJu Jeon, HyunGee Kim, Dong-Jin Kim"
When Does Synthetic Data Help? A Spectral Theory of Task-Relevant Domain Gap with Applications to Guided Generation and Bias Auditing,"Kaustubh S. Bukkapatnam, Rayan Malik"
One Category One Prompt: Dataset Distillation using Diffusion Models,"Ali Abbasi, Ashkan Shahbazi, Hamed Pirsiavash, Soheil Kolouri"
Generating Synthetic Illumination Variation with Co-Located Relighting,"Yash Turkar, Karthik K Dantu"
